ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-08,CVE-2017-13322,Platform,System,TelephonyManager,N/A,A-67862398,DoS,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/services/Telephony/0001-Enhanced-permission-checks-for-TelephonyManager-endCall-AP.bulletin.patch,patches/android-6.0.0_r1/platform/packages/services/Telephony/0002-DO-NOT-MERGE-Revise-security-requirements-for-TelephonyManag.bulletin.patch,patches/android-6.0.1_r20/platform/packages/services/Telephony/0001-Enhanced-permission-checks-for-TelephonyManager-endCall-AP.bulletin.patch,patches/android-6.0.1_r20/platform/packages/services/Telephony/0002--automerger-DO-NOT-MERGE-Revise-security-requirements-for-T.bulletin.patch,patches/android-7.0.0_r1/platform/packages/services/Telephony/0001-Enhanced-permission-checks-for-TelephonyManager-endCall-AP.bulletin.patch,patches/android-7.0.0_r1/platform/packages/services/Telephony/0002-DO-NOT-MERGE-Revise-security-requirements-for-TelephonyManag.bulletin.patch,patches/android-7.1.1_r4/platform/packages/services/Telephony/0001-Merge-commit-7d518b39bc046617cc31a8cd42a7b5db4d7311e4-into.bulletin.patch,patches/android-7.1.1_r4/platform/packages/services/Telephony/0002--automerger-DO-NOT-MERGE-Revise-security-requirements-for-T.bulletin.patch,patches/android-7.1.2_r5/platform/packages/services/Telephony/0001-Merge-commit-7d518b39bc046617cc31a8cd42a7b5db4d7311e4-into.bulletin.patch,patches/android-7.1.2_r5/platform/packages/services/Telephony/0002--automerger-DO-NOT-MERGE-Revise-security-requirements-for-T.bulletin.patch,patches/android-8.0.0_r1/platform/packages/services/Telephony/0001-Merge-commit-7d518b39bc046617cc31a8cd42a7b5db4d7311e4-into.bulletin.patch,patches/android-8.0.0_r1/platform/packages/services/Telephony/0002-DO-NOT-MERGE-Revise-security-requirements-for-TelephonyManag.bulletin.patch,patches/android-8.1.0_r1/platform/packages/services/Telephony/0001-Enhanced-permission-checks-for-TelephonyManager-endCall-AP.bulletin.patch,patches/android-8.1.0_r1/platform/packages/services/Telephony/0002-DO-NOT-MERGE-Revise-security-requirements-for-TelephonyManag.bulletin.patch",N/A,N/A,"In endCallForSubscriber of PhoneInterfaceManager.java, there is a possible ability to hang up an emergency phone call due to a permissions bypass. This could lead to local denial of service if calling an emergency number using the normal dialer (not the emergency dialer) with User execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a permissions check.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-15817,Kernel,Update: Qualcomm components,WLAN,N/A,A-68992394,RCE,Critical,N/A,"https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/prima/commit/?id=fe43c2b64ac81199de17efc258e95546cb0546f1,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/prima/commit/?id=8ba78e506e5002cdae525dd544dbf1df0ccce1ef,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=343a3f28338788c5c91289f53171c1f71f293cd7,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=0c21aaa2fefa6c5919813fdd287436dddda54227",N/A,N/A,QC-CR#2076603 [2] QC-CR#2084599 QC-CR#2096512,"In limComputeCrc32 of limSecurityUtils.c, there is a possible out of bounds write due to a buffer overflow.  This could lead to remote arbitrary code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to use an appropriate type for a length value.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9464,Kernel,Kernel components,Taimen bootloader,N/A,A-68993267,EoP,Moderate,N/A,N/A,code_snippets/ANDROID-68993267.zip,Upstream Linux,N/A,"In laf_cmd_read_proc, there is a possible arbitrary file read due to a missing input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to update the bootloader to add input validation.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9465,Kernel,Kernel components,binder,2018-08-05,A-69164715,EoP,High,N/A,https://patchwork.kernel.org/patch/10058587/,N/A,Upstream Linux,Upstream Kernel,"In task_get_unused_fd_flags of binder.c, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to always use get_files_struct() to obtain struct_files and avoid use after free.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9458,Platform,Framework,Window manager,2018-08-01,A-71786287,EoP,High,"8.0,8.1",N/A,"patches/android-8.0.0_r1/platform/frameworks/base/0002-WM-Prevent-secondary-display-focus-while-keyguard-is-up.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0003-WM-Prevent-secondary-display-focus-while-keyguard-is-up.bulletin.patch",N/A,N/A,"In computeFocusedWindow of RootWindowContainer.java, and related functions, there is possible interception of keypresses due to focus being on the wrong window. This could lead to local escalation of privilege revealing the user's keypresses while the screen was locked with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to prevent secondary display focus while keyguard is up.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9457,Platform,System,Bluetooth,N/A,A-72872376,ID,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Fix-unexpected-behavior-in-Bluetooth-pairing.bulletin.patch,patches/android-6.0.1_r20/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Fix-unexpected-behavior-in-Bluetooth-pairing.bulletin.patch,patches/android-7.0.0_r1/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Fix-unexpected-behavior-in-Bluetooth-pairing.bulletin.patch,patches/android-7.1.1_r4/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Fix-unexpected-behavior-in-Bluetooth-pairing.bulletin.patch,patches/android-7.1.2_r5/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Fix-unexpected-behavior-in-Bluetooth-pairing.bulletin.patch,patches/android-8.0.0_r1/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Give-PBAP-permission-only-after-user-confirms.bulletin.patch,patches/android-8.1.0_r1/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Give-PBAP-permission-only-after-user-confirms.bulletin.patch",N/A,N/A,"In onCheckedChanged of BluetoothPairingController.java, there is a possible way to retrieve contact information due to a permissions bypass. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to change the contact sharing default and replace newlines in the device name.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-11305,Kernel,Qualcomm closed-source components,Modem,2018-08-05,A-72951032,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2135539,N/A,N/A,Qualcomm AMSS bulletin: February 2018,N/A,N/A,N/A
2018-08,CVE-2018-11260,Kernel,Qualcomm components,WLAN,2018-08-05,A-72997254,EoP,High,N/A,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=9fd239116d9cb19a18b3892b8a1f428636ca1453,N/A,Qualcomm,QC-CR#2204872,"In csr_update_fils_params_rso of csr_api_roam.c, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to perform appropriate validation to avoid the integer overflow.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-18309,Kernel,Qualcomm closed-source components,MProc,2018-08-05,A-73539064,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#1114959,N/A,N/A,Qualcomm AMSS bulletin: September 2017,N/A,N/A,N/A
2018-08,CVE-2017-18308,Kernel,Qualcomm closed-source components,Modem,2018-08-05,A-73539310,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2025187,N/A,N/A,Qualcomm AMSS bulletin: September 2017,N/A,N/A,N/A
2018-08,CVE-2017-18307,Kernel,Qualcomm components,qcacld-3.0,N/A,A-73888283,ID,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2026045,"In msm_lsm_ioctl of msm-lsm-client.c, there is a possible leak of uninitialized data over a netlink socket. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to use kzmalloc to initialize the memory in order to avoid the information disclosure.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-18306,Kernel,Qualcomm components,v4l2,N/A,A-73889358,ID,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2216399,"In msm_fd_private_ioctl of msm_fd_dev.c, there is a possible leak of uninitialized data from the kernel heap. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to use vzmalloc to initialize the memory in order to avoid the information disclosure.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9441,Platform,System,Bluetooth,N/A,A-74075873,ID,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch,patches/android-6.0.0_r1/platform/system/bt/0007-Fixes-two-bluetooth-bugs-causing-remote-overreads-2-2-.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0007-Fixes-two-bluetooth-bugs-causing-remote-overreads-2-2-.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0007-Fixes-two-bluetooth-bugs-causing-remote-overreads-2-2-.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0007-Fixes-two-bluetooth-bugs-causing-remote-overreads-2-2-.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0002-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-causing-remote-overr.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-causing-remote-overr.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0002-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0001-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-causing-remote-overr.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0002-RESTRICT-AUTOMERGE-Fixes-two-bluetooth-bugs-causing-remote-.bulletin.patch",N/A,N/A,"In sdp_copy_raw_data of sdp_discovery.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to apply the correct bounds checks when determining the length of data to copy.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9427,Platform,Media framework,libstagefright,2018-08-01,A-77486542,RCE,Critical,"8.0,8.1",N/A,"patches/android-8.0.0_r1/platform/frameworks/av/0001-omx-restrict-useBuffer-according-to-buffer-type-and-port-mo.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/av/0004-OMXNodeInstance-Allow-dynamic-native-handle-mode-for-input-.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/av/0001-omx-restrict-useBuffer-according-to-buffer-type-and-port-mo.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/av/0004-OMXNodeInstance-Allow-dynamic-native-handle-mode-for-input-.bulletin.patch",N/A,N/A,In CopyToOMX of OMXNodeInstance.cpp there is a possible out-of-bounds write due to an incorrect bounds check. This could lead to remote arbitrary code execution with no additional execution privileges needed. User interaction is needed for exploitation.,The fix is designed to avoid the out-of-bounds write.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9440,Platform,Media framework,libstagefright,2018-08-01,A-77823362,DoS,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/frameworks/av/0001-M3UParser-make-url-on-demand.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/av/0001-M3UParser-make-url-on-demand.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/av/0001-M3UParser-make-url-on-demand.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/av/0001-M3UParser-make-url-on-demand.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/av/0002-M3UParser-make-url-on-demand.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/av/0002-M3UParser-make-url-on-demand.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/av/0002-M3UParser-make-url-on-demand.bulletin.patch",N/A,N/A,In parse of M3UParser.cpp there is a possible resource exhaustion due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed. User interaction is needed for exploitation.,The fix is designed to reduce memory use by creating URL objects on demand.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-1068,Kernel,Kernel components,Netfilter,N/A,A-77902350,EoP,Moderate,N/A,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=b71812168571fa55e44cdd0254471331b9c4c4c6,N/A,Upstream Linux,Upstream Kernel,"In size_entry_mwt of ebtables.c, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add checks to make sure the offsets are not out of bounds.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9455,Platform,System,Bluetooth,2018-08-01,A-78136677,DoS,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0006-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0006-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0006-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0006-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0007-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0005-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0005-Decrease-length-after-reading-from-array-in-process_service_.bulletin.patch",N/A,N/A,"In sdpu_extract_attr_seq of sdp_utils.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to decrease the length after reading from the array.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9456,Platform,System,Bluetooth,2018-08-01,A-78136869,DoS,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0005-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0005-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0005-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0005-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0006-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0007-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0007-DO-NOT-MERGE-SDP-Recalculate-param_len-after-max_list_len.bulletin.patch",N/A,N/A,"In sdpu_extract_attr_seq of sdp_utils.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to recalculate param_len when necessary.,N/A,N/A,N/A,N/A
2018-08,CVE-2017-18301,Kernel,Qualcomm closed-source components,Create key IOCTL,2018-08-05,A-78238455,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#1061848,N/A,N/A,Qualcomm AMSS bulletin: February 2017,N/A,N/A,N/A
2018-08,CVE-2017-18302,Kernel,Qualcomm closed-source components,QSEE,2018-08-05,A-78239233,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#974835,N/A,N/A,Qualcomm AMSS bulletin: February 2017,N/A,N/A,N/A
2018-08,CVE-2017-18300,Kernel,Qualcomm closed-source components,Secure Display,2018-08-05,A-78239508,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#1089168,N/A,N/A,Qualcomm AMSS bulletin: February 2017,N/A,N/A,N/A
2018-08,CVE-2017-18305,Kernel,Qualcomm closed-source components,Extended Bootloader,2018-08-05,A-78239838,N/A,Critical,N/A,N/A,N/A,Qualcomm,QC-CR#1076249,N/A,N/A,Qualcomm AMSS bulletin: February 2017,N/A,N/A,N/A
2018-08,CVE-2017-18304,Kernel,Qualcomm closed-source components,Power,2018-08-05,A-78239975,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#829839,N/A,N/A,Qualcomm AMSS bulletin: February 2017,N/A,N/A,N/A
2018-08,CVE-2017-18298,Kernel,Qualcomm closed-source components,SDMX_process API,2018-08-05,A-78239976,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#780403,N/A,N/A,Qualcomm AMSS bulletin: February 2017,N/A,N/A,N/A
2018-08,CVE-2017-18294,Kernel,Qualcomm closed-source components,ELF header parsing,2018-08-05,A-78240247,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#1071408,N/A,N/A,Qualcomm AMSS bulletin: January 2017,N/A,N/A,N/A
